"您为此书添加的 Kindle 笔记：",,,
"活出最乐观的自己【积极心理学之父塞利格曼的幸福科学四部曲之二】 (清华大学社会科学学院积极心理学研究中心专业推荐！)",,,
"作者：马丁•塞利格曼(Martin E.P.Seligam)、 洪兰、 任俊、 罗劲",,,
"免费 Kindle 极速预览：",,,
"http://z.cn/eoFmjVI",,,
----------------------------------------------,,,
,,,
"批注类型","位置","已加星标？","批注"
"标注 (黄)","第 159 页","","这对解释风格来说又有什么特殊意义呢？解释风格是习得性无助的核心。如前所述，乐观者可以抗拒无助，当他们失败时，他们不容易变得抑郁，也不会轻易放弃。而无助经验越少，免疫系统越强健。所以乐观影响健康的第一个方式就是防止无助的发生，进而使免疫系统强健"
"标注 (黄)","第 160 页","","乐观增进健康的第二个方式是使你维持良好的健康习惯，有病及时寻医问药。悲观的人认为生病是永久的、普遍的和人格化的。他会认为，“我怎么做都没用”，“那又何必多此一举？”在一个对100名哈佛毕业生、为期35年的长期追踪研究中发现，悲观者比乐观者更不容易改掉抽烟的习惯，更容易生病。乐观者习惯于掌握自己的命运，会采取行动来防治疾病。 乐观促进健康的第三个方式是减少坏事件发生的次数。统计显示一个人在某一段期间内遇到的坏事越多，越容易"
"标注 (黄)","第 160 页","","丧偶的人在头6个月的死亡率比平常高出好几倍，所以如果你的母亲去世了，你一定要让你的父亲去做一个彻底的"
"标注 (黄)","第 160 页","","你可能会想，谁会碰到较多的不幸事件呢？答案是悲观的人。因为他们比较被动，较少主动采取行动来避免不好的事，而且在事情发生之后也较少采取行动来终止这些事。所以悲观的人发生不幸事件的几率就比一般人高，而如果不幸事件容易导致疾病的话，悲观的人就较容易生病了。 乐观可以促进健康的最后一个原因在于社会"
"标注 (黄)","第 160 页","","拥有一份深厚的友谊和爱情似乎对身体健康很重要。一个中年人如果有一个好朋友，可以在有问题时，半夜打电话去谈心，那么他的健康状况会比没有朋友的人好很多。同时，没结婚的人患抑郁症的比率要比结了婚的人高。即使只是一般的朋友，他们也会对抵抗疾病有所助益。 我母亲70多岁时动了一次手术，有几个月的时间，她必须挂着尿"
"标注 (黄)","第 161 页","","悲观者也有同样的问题。遇到挫折时他们比较被动，他们很少去寻求社会支持。社会支持与疾病之间的联系提供了乐观解释风格可以增进健康的第四个"
"标注 (黄)","第 163 页","","现在已有很多证据指出当一个人抑郁时，他的大脑也会随之改变。在神经之间传递信息的荷尔蒙，在抑郁时会变得"
"标注 (黄)","第 163 页","","如果抑郁和悲伤会暂时降低免疫系统的功能，那么悲观，这个更长期的心理状态，就应该使免疫系统长期处于低活动"
"标注 (黄)","第 163 页","","的，悲观的人较容易，而且更经常地沉溺于抑郁，这表示悲观的人免疫系统功能一般比"
"标注 (黄)","第 165 页","","我们看待不幸事件的方式——我们的悲剧理论是一生不变"
"标注 (黄)","第 166 页","","瓦利恩特深信心理分析理论中的防御理论，他认为影响我们一生的不是有多少次不幸事件，而是我们怎样在心理、精神上去对抗它们。他认为对不幸事件的习惯性解释是自我防御的一种，他曾花了10多年的时间追踪研究一个很特殊的样本，在他们从中年进入老年时详细地进行访"
"标注 (黄)","第 167 页","","这些哈佛人与同时期生长在贫民窟的同龄者所经历的伤心事和打击一"
"标注 (黄)","第 167 页","","有些人还在大学时就能以成熟的方式来面对失败——以幽默、利他、升华等方法来自我排解；而有些人就不行，例如当女朋友移情别恋时，他们用否认、投射等不成熟的防御方式来解释这个"
"标注 (黄)","第 168 页","","现在已有许多证据表明心理状态的确会影响身体健康。抑郁、哀伤、悲观对我们的健康有短期和长期的影响，而且这种影响是如何产生的现在已不再"
"标注 (黄)","第 168 页","","这个影响的每个环节都是可以验证的，失败——悲观——抑郁——儿茶酚胺减少——内啡肽增加——免疫系统被抑制——生病。这里面没有不可测量的过程。此外，如果影响的过程真是如此的话，我们可以在每一个环节上进行治疗和"
"标注 (黄)","第 169 页","","让他们认识到自己不自觉的思想，当他们钻牛角尖时，想办法使自己分心，然后与自己的悲观解释争辩，反驳自己的悲观看法（详见第12"
"标注 (黄)","第 170 页","","塞利格曼的乐观箴言 ★抑郁、哀伤会在短期内降低我们免疫系统的功能，而悲观则会长期抑制免疫功能，使我们的健康受损。 ★认知疗法可以增强免疫系统的功能，改善病人的健康"
"标注 (黄)","第 172 页","","我早年读过的弗洛伊德的文章强烈地影响了我后来的研究方向。一位科幻小说作家阿西莫夫（Isaac Asimov）虽然不像弗洛伊德那么有名，但他的作品对我的影响却"
"标注 (黄)","第 179 页","","心理历史学是用来“后测”（postdict）事件的，即用更早以前的事去预测后来已经发生的"
"标注 (黄)","第 190 页","","乐观者的生活跟悲观者的一样，也会有挫折、不如意的事发生，只是乐观者处理得比较好。因为乐观者在遭受打击后能很快复原，所以他们在事业上、学业上、运动场上能表现得更好。乐观者的身体更健康，也更长寿。对悲观者而言，即使事情都如他的意，他还是会为前面不可预知的灾难而"
"标注 (黄)","第 190 页","","现在悲观者们有了一个好消息，那就是他们可以通过学习来变得乐观，永远地改善他们的生活"
"标注 (黄)","第 190 页","","习得性乐观并不是教你自私、自大，让别人不能忍受，它要教你在遇到失败挫折时如何与自己对话。你要学习如何在受到打击时，从更具鼓励性的角度来考虑挫折或"
"标注 (黄)","第 191 页","","我是否很容易气馁？ 我是否比我希望的样子更抑郁？ 我是否比我预想的更常"
"标注 (黄)","第 191 页","","在什么情况下，你应该使用这些章节中教你的技术呢？首先，问自己你想做到"
"标注 (黄)","第 192 页","","使用乐观技术的基本原则就是先问，在某一个特定情况下失败的代价是什么。如果失败的代价很高，那么就不应该"
"标注 (黄)","第 192 页","","反过来说，如果失败的代价很低，你就应该采用乐观的态度。推销员在决定是否再打一次电话时，失败的代价只是他的时间；一个害羞的人决定要不要上前与人攀谈时，失败的代价只是被拒绝，有些难堪而已，在这些情况下都应该用乐观"
"标注 (黄)","第 192 页","","今晚你的节食努力都报销了。你真是不可思议的软弱，只要和朋友去酒吧就会受不了诱惑而大吃大喝。他们一定认为你是个笨蛋，唉！既然过去的节食都毁了，你干脆把冰箱中的蛋糕拿出来，痛快地大吃一顿"
"标注 (黄)","第 193 页","","其实凯蒂吃一点炸土豆片和鸡翅和后来的大吃并没有必然的联系，真正把这两件事联系起来的是她对自己为什么吃炸土豆片的"
"标注 (黄)","第 193 页","","她的解释风格非常悲观——“不可思议的软弱”，她的结论也很悲观——“节食努力都报销了”。事实上她的节食并没有前功尽弃，但是她的永久性、普遍性及人格化的解释使她放弃"
"标注 (黄)","第 193 页","","如果凯蒂可以反驳她自己的自动化的解释的话，这件事可以有个完全不同的"
"标注 (黄)","第 193 页","","只有一个晚上多吃一点并不表示我意志薄弱，想想看，我坚持了两个星期，这证明我很"
"标注 (黄)","第 193 页","","最重要的是，即使我吃了我不应该吃的东西，我也不应该继续破坏我的节食计划，这样做是没有意义的。最好的方式是不再去想这次犯的错，继续努力"
"标注 (黄)","第 193 页","","我引用了心理学家埃利斯所开发的ABC模式：当我们碰到不好的事件（adversity）时，我们最自然的反应就是不断想它，这些思绪很快凝聚成想法（belief），这些思绪会变成习惯，我们不会意识到我们的这些想法。这些想法并不是待在那儿不动的，它们会引起后果（consequence），我们的所作所为就是这些想法直接的后果。它是我们放弃、颓丧或是振作、再尝试的"
"标注 (黄)","第 194 页","","现在我要教你如何去中断这个恶性循环：第一步是认出这个不好的事件、想法和后果之间的关系；第二步是看这个ABC模式如何在你每天的生活中"
"标注 (黄)","第 195 页","","当我们把一件不好的事解释成永久性的、普遍性的和人格化的时候，颓丧和放弃就紧跟而来"
"标注 (黄)","第 195 页","","你的ABC记录 要找出这些ABC如何在你日常生活中运作，最好的方法是写日记，把每天发生的事记录下来。这个日记不必很长，只要花一两天，记录5个ABC的案例就可以"
"标注 (黄)","第 196 页","","第一就是要去注意你平常没有注意的、你对自己说的话。你注意一下一些小事情以及它们所引起的情绪，例如你在电话里跟朋友聊天，她好像等不及要挂掉（一种不愉快的小经验），你发现自己后来心情很不好（引起的情绪结果），这种小事就是你要记录的ABC"
"标注 (黄)","第 196 页","","你的记录要分三个部分。 第一个部分“不好的事”，几乎可以是任何事情——水管漏了、朋友皱眉头、一直哭的孩子、大额账单、配偶对你的忽视。尽量客观地记录下实际情况，而不是你对这个情况的评估。所以假如你跟你的配偶吵架了，你应该写下他对你说的或做的感到不快，而不是记录“他不公平”，因为这是一个推论，你可以把它记录在第二部分“想法”中，但是不应该记录为“不好的事”。你的“想法”是你对不好的事的解释。请注意要把你的想法跟你的感觉分开（感觉属于第三部分“后果”）。“我刚刚毁了我的节食计划”以及“我觉得自己很无能”是想法，我们可以评估这些想法是否正确。 “我觉得很悲伤”是一种"
"笔记","第 196 页","","区分想法和后果"
"标注 (黄)","第 196 页","","“后果”这个部分要记录你的感觉和行为。大多数时候你的感觉会不只一种，写下你所有的感觉以及你的所作所为。 “我觉得很疲倦，没有力气。”“我要让他向我道歉！”“我又回去睡觉了。”等都是"
"标注 (黄)","第 197 页","","不好的事：我打电话给一个我喜欢的男士，请他一起去看表演，他说最近不行，因为他要准备开会用的文件，让我下次再找他。 想法：鬼才相信他的话，全是借口，他只是不想伤我的心，他根本就不想跟我一起出去。我真是活该！我以为他对我有意思，我以后再也不想邀请任何人出去了。 后果：我觉得很难堪，觉得自己很笨、很丑，我决定把票送给"
"标注 (黄)","第 198 页","","反驳和转移"
"标注 (黄)","第 198 页","","从长远来看，反驳更有效，因为有效的反驳能阻止以前那些想法再次出现。这样，当你遇到同样的情境时，你就不会再"
"标注 (黄)","第 199 页","","还有就是当消极的想法一出现，就立刻把它写下来。写本身就是一种发泄，“写”加上“以后再去想”会很有效。消极的想法利用反复思虑的特性提醒你它们的存在。如果你把它写下来，以后再去想它，它就失去了萦绕在你心中的目的，没有目的的东西是没有威力"
"标注 (黄)","第 200 页","","躲避令我们不安的想法是很好的急救方法，但长远、根本之计是去反驳它，跟它争辩。只有有效地反驳了不合理的想法，你才能改变你的习惯性思维，不再"
"标注 (黄)","第 201 页","","有一点很重要，就是你要知道你的想法只是想法，它可能是事实，也可能不是"
"标注 (黄)","第 201 页","","我们一般都会和别人这些无理的指责保持一个距离。但是要我们与自己的指责保持距离就很困难，因为我们会认为，如果这个指责来自我们内心，那么它一定是真的。"
"标注 (黄)","第 201 页","","我们在遭受挫折时对自己说的话可能和不怀好意的人说的一样毫无根据。我们的自我解释常常是扭曲的，它们是我们童年不愉快的经验，如童年的冲突、很严厉的父母、苛刻的棒球教练、姐姐的嫉妒等造成的不合理的思维习惯。就因为它来自我们自己，所以我们就认为它一定是对的。 它们不过是想法、念头而已。你相信某个想法并不代表这个想法是真实的。所以很重要的一点是退后一步，让自己与自己悲观的解释保持距离，给自己一点时间来验证自己的想法是否正确。反驳最大的作用就是检查自己的反射性想法是否正确。 第一步是了解自己的想法是可以反驳的；第二步就是去反驳"
"标注 (黄)","第 202 页","","下面是四个重要途径，它们可以使你的反驳更令人信服。 证据。 其他可能性。 暗示。"
"标注 (黄)","第 202 页","","反驳消极想法最有效的方法就是去举证，证明这些想法是不正确的，不符合实际"
"标注 (黄)","第 202 页","","大多数时候，事实站在你这一边，因为对一件不好的事情的悲观反应往往是反应"
"标注 (黄)","第 203 页","","习得性乐观之所以有效，不是因为那些不合理的积极想法，而是由于“非消极”（non-negative）思维的"
"标注 (黄)","第 203 页","","通常一件事情的发生不会只有一个原因，而是由多个原因引起"
"标注 (黄)","第 203 页","","既然有很多原因，为什么偏要挑杀伤力最强的原因呢？问你自己“可不可以用其他的方式来看"
"标注 (黄)","第 203 页","","记住，悲观思维常是去找最糟、最有杀伤力的理由，并不是因为它有证据支持，而是因为这个理由最阴暗、最恐怖、最让你"
"标注 (黄)","第 204 页","","我的想法会带来多坏的结果？”你就应重复求证的"
"标注 (黄)","第 204 页","","有的时候，这些想法的后果比这些想法是否真实更重要。这些想法是否有"
"标注 (黄)","第 204 页","","有些人因为感到世界不公平而非常痛苦。坚持这个想法可能会引起更多的痛苦，它对我有什么好处呢？有的时候，不要去管你的想法是否正确，直接反驳它，甚至干脆不理它，继续"
"标注 (黄)","第 204 页","","当你必须做一件事时，你不要问自己“这个想法对吗？”而是问“现在想这个对我有用吗？”如果答案是否定的，请选用转移注意的"
"标注 (黄)","第 205 页","","你的反驳记录 现在请你练习ABCDE模式。你已经知道了ABC各代表什么，D是反驳（disputation），E是激发（"
"标注 (黄)","第 212 页","","其实不良的情绪和行为不一定直接跟不好的事有关，它们直接来自你对不好的事的看法。这表示如果你改变了你对不好的事的心理反应，那么你就能更好地应对"
"标注 (黄)","第 212 页","","进行改变的最主要的工具是反驳。从现在起，练习反驳头脑中的自动化"
"标注 (黄)","第 212 页","","习得性乐观不像节食，很容易坚持下去。一旦你养成了反驳消极想法的习惯，你就会觉得快乐了"
"标注 (黄)","第 212 页","","塞利格曼的乐观箴言 ★要不要使用乐观技术的原则是看在某一个特定情况下失败的代价是什么。如果失败的代价很高，那么就不应该乐观；如果代价很小，那不妨乐观一点。 ★改变悲观的解释风格的方法有两种。第一种是转移注意力；第二种方法是去反驳它。从长远来看，反驳更"
"标注 (黄)","第 214 页","","最糟的是，悲观成为孩子看世界的一种方法，儿童期的悲观是长大成人后的悲观的"
"标注 (黄)","第 215 页","","你要强调他的情绪并非空穴来风，无中生有。让他明白，当他突然感到悲哀、愤怒、害怕或窘迫时，一定是某个想法引起了这些情绪，如果他可以学会把这些想法找出来，他就可以改变"
"标注 (黄)","第 216 页","","想法是你情绪产生中最重要、最关键的一环；当想法改变了，情绪后果也将随之"
"标注 (黄)","第 217 页","","你要强调悲哀、愤怒、害怕、放弃这些情绪和行为都来自他自己的想法，告诉他这些想法并一定正确，并不一定不能"
"标注 (黄)","第 222 页","","要常常提醒他，你并不认为这些批评是对的，你只是用它来教他学会"
"标注 (黄)","第 222 页","","因为这些批评是他对自己的看法，你只是帮助他把这些思维外化。不过要非常小心，不要让他以为这是你对他的"
"标注 (黄)","第 228 页","","倾听你自己的内心对话，反驳你的消极"
"标注 (黄)","第 228 页","","每个人都有自己的一面墙，都会有些事让自己感到沮丧、气馁。你在撞到这面墙后的行为可以决定你会成功还是失败。失败并不一定来自懒惰，但多数时候我们把不能越过这座墙归因为懒惰。失败也不是因为没有才能或没有想象力，它来自对某种重要技术的无知，而任何学校都不曾教过这种"
"标注 (黄)","第 229 页","","乐观程度高的人很显然比较适合压力大、失败率高的工作，这种工作需要具有自主性、坚持性以及敢去做梦的"
"标注 (黄)","第 229 页","","有许多证据显示，悲观者对世界的看法更准确。每一家成功的公司，每一种成功的生活，都需要对现实有正确的评估以及有超越现实的"
"标注 (黄)","第 231 页","","A代表不好的事（adversity）。对很多人来说，不好的事就是终点。他们对自己说：“有什么用，我已经弄糟了，干嘛还继续下去？”于是他们就放弃了。对其他人来说，不好的事是挑战的开始，是通向成功的"
"标注 (黄)","第 231 页","","每一次碰到不好的事都会激发我们的解释风格，来解释为什么事情会不如意。每个人在碰到不如意的事情时，第一件事就是去解释这个不如意。这些解释决定了我们下一步怎么做。我们的解释风格和想法不仅影响着我们的行动，也影响着我们的感觉和"
"标注 (黄)","第 233 页","","你怎样才能在老板批评你之后还觉得心情不错呢？第一就是找一个可以改变这个批评的方法，“我知道怎么做能帮助我提高能力”或是“我应该再细心一些”。第二，你要让你的想法不那么具有普遍性，“只是这件事没办好而已”。第三，你不要怪罪自己，你可以想“老板今天心情不好”“我的工作期限太紧了”。如果你能在自我反省时很习惯地从这三点去想，那么不如意的事就会变成你成功的"
"标注 (黄)","第 233 页","","每当你在工作中感到泄气、悲伤、气愤、焦虑或沮丧的时候，写下这些情绪发生前一瞬间的想法，你会发现这些想法跟你在ABC练习中的答案非常"
"标注 (黄)","第 234 页","","对付暂时的失意，超越无形高墙的技巧就在于：如何去反驳你的消极想法。因为这些想法已经根深蒂固了，所以学习去反驳它还是相当费力的。要学会如何去反驳你的自动化的想法，你要先学会倾听你的内在对话，下面我们就教你如何玩倾听的"
"标注 (黄)","第 236 页","","如果你的工作属于第三种版本所描述的行业，请今晚留出20分钟，找一个安静的房间，尽可能生动地去想象你面对高墙时的情境。你也可以使用道具。如果你的高墙是写报告，那你可以坐在一张白纸前面，想象这份报告明天就要交了，你感到时间将尽而又写不出来的"
"标注 (黄)","第 237 页","","无论哪种版本，请记录五次，但每一次不好的事都要"
"标注 (黄)","第 240 页","","不好的事：我的部门生产又落后了，老板铁定要来数落"
"标注 (黄)","第 241 页","","我对自己的表现也不满意，担心老板会解雇我，我想在我们生产赶上进度以前最好回避"
"标注 (黄)","第 241 页","","我现在不但不应回避我的老板，反而应该主动去跟他汇报进度，沟通存在的"
"标注 (黄)","第 243 页","","你会发现许多人总是先想到最坏的结果，有时候没有任何证据就自以为"
"标注 (黄)","第 249 页","","为什么发达国家中的孩子这么容易受到抑郁症的侵蚀，我先要检视两个令人警觉的趋势：自我意识的膨胀和公共意识（commons）的"
"标注 (黄)","第 251 页","","一个人如果只是为他自己而活，那的确是一个很贫乏的生命。人类需要生活在意义和希望中。我们以往的生活充满了意义和希望，当我们遇到失败时，我们可以停下来，在这个意义和希望的精神堡垒中休养一下，重新去思考我是谁。我把这个叫做公共意识，它包括我们对国家、神祗和家庭的"
"标注 (黄)","第 252 页","","美国社会抑郁症的泛滥不全然是因为社会不施予我们援手，很多时候其实是极端的个人主义所造成的悲观解释风格使得人们把失败归因于永久性、普遍性以及人格化的"
"标注 (黄)","第 253 页","","第二个原因，也是比较重要的原因就是生命的无意义感。有意义的一个必要条件就是它必须依附到一个比自我更大的东西上去。你可以依附的东西越大，你所拥有的意义就越多。如果年轻人不能正视他和上帝之间的关系，不再在乎他对国家的责任，也不再是一个大的、紧密的家庭的一份子时，他就很难在他的生命中找到任何"
"标注 (黄)","第 253 页","","换句话说就是，自我本身是没有什么意义"
"标注 (黄)","第 255 页","","个人主义和自私自利也是一样。我认为抑郁症是来自对自己的过度关怀和对团体的不够"
"标注 (黄)","第 255 页","","缺乏运动和胆固醇过高会危害我们的健康和幸福，同样，过度关心自己的成功与失败，对团体没有认同感与奉献心也会造成我们的危机——抑郁、不健康、生活"
"标注 (黄)","第 255 页","","当乞丐向你乞讨时，不要塞钱给他就算完事。停下来，跟他聊聊。如果你认为他会好好利用你给他的钱，而不会去买毒品、香烟和啤酒，那你再给他钱（但一次不要超过5"
"标注 (黄)","第 256 页","","他们为这些不幸的人感到难过，但他们不"
